id,trial,top_idx,within_idx,between_idx,within_is_left_or_right,trial_type,question_type,question_idx,choice,rt,stim_onset,IG,IG2,targRace,targGend,winRace,winGend,btwnRace,btwnGend,winRaceMatch,btwnRaceMatch,winGendMatch,btwnGendMatch,comparison,question
data_1_,43,4,8,2,1,2,1,9,1,1.7249,183473.7576,1,1,Asian,M,Asian,F,White,F,1,0,0,0,Two-step,Pos Action
data_1_,44,4,8,3,2,3,4,4,2,2.7031,183476.0151,1,1,Asian,M,Asian,F,Asian,F,1,1,0,0,One-versus-two-step,Similarity
data_1_,45,8,5,9,2,1,2,12,2,3.3124,183479.2353,1,0,Asian,F,Black,M,Hispanic,M,0,0,0,0,One-step,Neg Action
data_1_,46,4,8,1,1,2,4,4,1,2.725,183483.0697,1,1,Asian,M,Asian,F,White,F,1,0,0,0,Two-step,Similarity
data_1_,47,14,1,13,1,1,2,14,2,4.8233,183486.3231,0,1,White,M,White,F,White,F,1,1,0,0,One-step,Neg Action
data_1_,48,9,13,8,2,3,2,11,2,3.0837,183491.6681,1,0,Hispanic,M,White,F,Asian,F,0,0,0,0,One-versus-two-step,Neg Action
data_1_,49,13,9,14,1,3,4,4,1,2.8553,183495.2701,1,1,White,F,Hispanic,M,White,M,0,1,0,0,One-versus-two-step,Similarity
data_1_,50,4,7,3,2,1,3,3,2,5.9527,183498.6563,1,1,Asian,M,White,F,Asian,F,0,1,0,0,One-step,Friendship
data_1_,51,13,9,15,1,2,2,14,1,4.8948,183505.13,1,0,White,F,Hispanic,M,Black,M,0,0,0,0,Two-step,Neg Action
data_1_,52,13,9,14,2,3,2,2,1,2.3135,183510.5579,0,1,White,F,Hispanic,M,White,M,0,1,0,0,One-versus-two-step,Neg Action
data_1_,53,14,3,10,2,2,3,3,1,3.1202,183513.3964,0,0,White,M,Asian,F,Black,F,0,0,0,0,Two-step,Friendship
data_1_,54,3,2,4,1,1,3,3,1,1.8972,183517.0482,1,1,Asian,F,White,F,Asian,M,0,1,1,0,One-step,Friendship
data_1_,55,9,11,8,1,1,1,9,2,3.5376,183519.4717,0,0,Hispanic,M,White,M,Asian,F,0,0,1,0,One-step,Pos Action
data_1_,56,9,13,6,1,2,2,2,2,3.6715,183523.5385,0,1,Hispanic,M,White,F,White,F,0,0,0,0,Two-step,Neg Action
data_1_,57,9,13,5,1,2,3,3,1,1.5346,183527.7381,1,1,Hispanic,M,White,F,Black,M,0,0,0,1,Two-step,Friendship
data_1_,58,8,4,10,2,2,2,10,1,2.1901,183529.7964,0,1,Asian,F,Asian,M,Black,F,1,0,0,1,Two-step,Neg Action
data_1_,59,9,13,6,2,2,1,5,2,2.9179,183532.5186,1,1,Hispanic,M,White,F,White,F,0,0,0,0,Two-step,Pos Action
data_1_,60,4,8,3,1,3,1,7,1,2.788,183535.9547,1,1,Asian,M,Asian,F,Asian,F,1,1,0,0,One-versus-two-step,Pos Action
data_1_,61,8,4,9,2,3,4,4,2,2.515,183539.2745,1,1,Asian,F,Asian,M,Hispanic,M,1,0,0,0,One-versus-two-step,Similarity
data_1_,62,9,13,8,1,3,3,3,1,3.9232,183542.3121,1,1,Hispanic,M,White,F,Asian,F,0,0,0,0,One-versus-two-step,Friendship
data_1_,63,4,8,3,2,3,2,14,1,1.8466,183546.7607,0,1,Asian,M,Asian,F,Asian,F,1,1,0,0,One-versus-two-step,Neg Action
